Concept,semantic_fiel,POS,vi,hi,vi-hi,Rank
jetztADV,Time,Adverb,0.653,0.327,0.327,215
NordenN,Spatial relations,Noun,0.684,0.357,0.327,216
DachN,The house,Noun,0.695,0.369,0.326,217
weinenV,Emotions and values,Verb,0.735,0.409,0.326,218
umdrehenV,NA,Verb,0.635,0.309,0.326,219
SackN,NA,Noun,0.713,0.388,0.325,220
klirrenV,NA,Verb,0.759,0.434,0.325,221
AbendN,Time,Noun,0.674,0.349,0.325,222
spazierengehenV,NA,Verb,0.727,0.402,0.324,223
fliegenV,Motion,Verb,0.732,0.407,0.324,224
SalzN,Food and drink,Noun,0.582,0.259,0.323,225
VaterN,Kinship,Noun,0.752,0.429,0.322,226
RuckenN,The body,Noun,0.672,0.349,0.322,227
fuhrenV,NA,Verb,0.661,0.338,0.322,228
nacktA,The body,Adjective,0.73,0.408,0.322,229
ElternN,Kinship,Noun,0.662,0.341,0.322,230
scheinenSonneV,Sense perception,Verb,0.757,0.436,0.321,231
hochhebenV,Motion,Verb,0.681,0.36,0.321,232
